order_id,order_date,customer_id,city,pincode,item_name,category,quantity,unit_price,discount_pct,promo_code,payment_method,order_channel,delivery_time_mins,delivery_status,rider_id,customer_rating,gross_value,discount_amount,order_value
ZP1000000,24-10-2024 02:52,C15238,Delhi,110001,Apple 1kg,Fruits & Vegetables,1,150,10,NEWUSER,COD,App,31,Delivered,R1242,4,150,15,135
ZP1000001,25-05-2025 02:21,C10912,Ahmedabad,380001,Butter 200g,Dairy,1,180,20,FEST50,UPI,App,17,Delivered,R1222,5,180,36,144
ZP1000002,05-08-2025 17:34,C10204,Kolkata,700001,Soft Drink 1L,Beverages,1,60,0,NONE,Wallet,App,31,Delivered,R1335,5,60,0,60
ZP1000003,19-04-2025 05:45,C16074,Hyderabad,500001,Apple 1kg,Fruits & Vegetables,1,150,0,NONE,COD,App,58,Delivered,R1132,4,150,0,150
ZP1000004,26-07-2025 19:38,C12253,Mumbai,400001,Chocolate Bar 50g,Snacks,1,50,0,NONE,COD,App,15,Delivered,R1126,5,50,0,50
ZP1000005,18-04-2025 06:52,C12006,Mumbai,400001,Potato 1kg,Fruits & Vegetables,1,35,15,NEWUSER,UPI,App,30,Delivered,R1293,4,35,5.25,29.75
ZP1000006,15-05-2025 01:00,C11828,Mumbai,400001,Frozen Peas 1kg,Frozen,1,180,0,NONE,UPI,App,33,Delivered,R1033,4,180,0,180
ZP1000007,17-02-2025 09:05,C11143,Pune,411001,Rice 5kg,Staples,1,450,0,NONE,UPI,App,30,Delivered,R1057,3,450,0,450
ZP1000008,01-01-2025 05:26,C16033,Hyderabad,500001,Potato 1kg,Fruits & Vegetables,1,35,0,NONE,UPI,App,29,Delivered,R1241,3,35,0,35
ZP1000009,14-08-2025 00:21,C10839,Chennai,600001,Curd 500g,Dairy,1,70,5,FEST50,UPI,App,30,Delivered,R1092,3,70,3.5,66.5
ZP1000010,26-10-2024 16:45,C15543,Mumbai,400001,Tea 250g,Beverages,3,200,0,NEWUSER,UPI,App,24,Delivered,R1085,3,600,0,600
ZP1000011,06-07-2025 21:13,C16067,Ahmedabad,380001,Wheat Flour 5kg,Staples,1,300,0,NONE,COD,App,50,Delivered,R1287,4,300,0,300
ZP1000012,02-03-2025 21:32,C17308,Pune,411001,Rice 5kg,Staples,2,450,0,NONE,UPI,App,34,Delivered,R1118,3,900,0,900
ZP1000013,14-10-2025 00:06,C14467,Bengaluru,560001,Butter 200g,Dairy,3,180,0,NONE,Credit Card,App,22,Delivered,R1392,5,540,0,540
ZP1000014,12-11-2024 10:22,C10712,Bengaluru,560001,Coffee 100g,Beverages,1,180,0,NONE,Wallet,App,44,Delivered,R1383,3,180,0,180
ZP1000015,12-11-2024 00:26,C14837,Bengaluru,560001,Garbage Bags 30pcs,Household,1,180,0,NONE,COD,App,21,Delivered,R1228,3,180,0,180
ZP1000016,21-09-2025 06:19,C13456,Bengaluru,560001,Apple 1kg,Fruits & Vegetables,1,150,5,SAVE10,Debit Card,App,16,Delivered,R1166,3,150,7.5,142.5
ZP1000017,04-01-2025 18:31,C10260,Hyderabad,500001,Ice Cream 500ml,Frozen,1,220,0,NONE,Credit Card,App,24,Returned,R1061,,220,0,220
ZP1000018,16-04-2025 13:48,C10244,Delhi,110001,Cookies 150g,Snacks,1,90,0,NONE,UPI,App,47,Delivered,R1296,3,90,0,90
ZP1000019,12-05-2025 11:16,C10767,Bengaluru,560001,Curd 500g,Dairy,2,70,0,NONE,UPI,App,16,Delivered,R1273,5,140,0,140
ZP1000020,02-05-2025 21:42,C11791,Chennai,600001,Paneer 200g,Dairy,1,120,0,NONE,UPI,App,26,Cancelled,R1357,,120,0,120
ZP1000021,16-03-2025 09:34,C11905,Mumbai,400001,Paneer 200g,Dairy,4,120,0,NONE,UPI,App,22,Delivered,R1360,3,480,0,480
ZP1000022,09-07-2025 08:40,C14139,Bengaluru,560001,Curd 500g,Dairy,2,70,0,NONE,COD,App,40,Delivered,R1359,4,140,0,140
ZP1000023,20-08-2025 04:07,C14931,Delhi,110001,Apple 1kg,Fruits & Vegetables,1,150,0,NONE,UPI,App,17,Delivered,R1068,4,150,0,150
ZP1000024,25-04-2025 10:20,C10217,Delhi,110001,Potato Chips 100g,Snacks,1,40,0,NONE,UPI,App,37,Returned,R1326,,40,0,40
ZP1000025,02-11-2024 13:43,C14597,Kolkata,700001,Coffee 100g,Beverages,1,180,0,SAVE10,Debit Card,App,13,Delivered,R1335,3,180,0,180
ZP1000026,05-04-2025 04:47,C11628,Bengaluru,560001,Wheat Flour 5kg,Staples,1,300,15,FEST50,Debit Card,App,43,Delivered,R1327,5,300,45,255
ZP1000027,24-04-2025 05:21,C15865,Hyderabad,500001,Rice 5kg,Staples,1,450,0,NONE,UPI,Website,36,Delayed,R1261,,450,0,450
ZP1000028,24-03-2025 18:30,C15323,Hyderabad,500001,Paneer 200g,Dairy,2,120,0,NONE,UPI,App,38,Delivered,R1390,5,240,0,240
ZP1000029,21-01-2025 01:13,C15745,Mumbai,400001,Wheat Flour 5kg,Staples,1,300,0,NONE,Credit Card,App,32,Delivered,R1230,4,300,0,300
ZP1000030,15-08-2025 22:37,C14464,Hyderabad,500001,Tomato 1kg,Fruits & Vegetables,1,30,0,NONE,Credit Card,App,17,Delayed,R1004,,30,0,30
ZP1000031,29-01-2025 18:26,C13436,Mumbai,400001,Wheat Flour 5kg,Staples,2,300,0,NONE,Credit Card,App,39,Cancelled,R1395,,600,0,600
ZP1000032,11-01-2025 20:53,C11805,Mumbai,400001,Apple 1kg,Fruits & Vegetables,1,150,0,NONE,UPI,App,37,Delivered,R1130,5,150,0,150
ZP1000033,11-01-2025 12:30,C13679,Ahmedabad,380001,Fruit Juice 1L,Beverages,1,120,0,NONE,UPI,App,20,Delivered,R1270,4,120,0,120
ZP1000034,21-07-2025 23:44,C14827,Ahmedabad,380001,Rice 5kg,Staples,1,450,10,SAVE10,UPI,Website,15,Delivered,R1167,3,450,45,405
ZP1000035,23-02-2025 22:00,C12278,Kolkata,700001,Handwash 250ml,Personal Care,1,120,0,NONE,UPI,App,30,Delivered,R1306,3,120,0,120
ZP1000036,30-03-2025 04:11,C16630,Bengaluru,560001,Potato Chips 100g,Snacks,2,40,5,SAVE10,UPI,App,31,Delivered,R1177,4,80,4,76
ZP1000037,14-07-2025 21:19,C17121,Mumbai,400001,Butter 200g,Dairy,3,180,0,NONE,Wallet,Website,38,Delivered,R1310,4,540,0,540
ZP1000038,25-11-2024 22:14,C10053,Chennai,600001,Garbage Bags 30pcs,Household,1,180,0,FEST50,Credit Card,Website,22,Delivered,R1101,3,180,0,180
ZP1000039,10-01-2025 18:45,C16216,Delhi,110001,Wheat Flour 5kg,Staples,1,300,0,NONE,Credit Card,App,34,Delivered,R1269,4,300,0,300
ZP1000040,09-07-2025 06:30,C16601,Mumbai,400001,Milk 1L,Dairy,1,60,0,NONE,UPI,App,41,Delivered,R1288,5,60,0,60
ZP1000041,01-09-2025 01:58,C11307,Hyderabad,500001,Apple 1kg,Fruits & Vegetables,2,150,0,FEST50,UPI,App,10,Returned,R1254,,300,0,300
ZP1000042,23-02-2025 21:16,C15719,Mumbai,400001,Tomato 1kg,Fruits & Vegetables,1,30,0,NONE,UPI,App,10,Delivered,R1282,3,30,0,30
ZP1000043,20-02-2025 06:34,C13462,Pune,411001,Curd 500g,Dairy,1,70,0,NONE,UPI,App,32,Delivered,R1244,3,70,0,70
ZP1000044,17-04-2025 08:37,C12787,Bengaluru,560001,Salt 1kg,Staples,1,25,0,NONE,Credit Card,App,33,Delivered,R1077,5,25,0,25
ZP1000045,13-09-2025 15:23,C12276,Chennai,600001,Soap 75g,Personal Care,3,40,0,NONE,Debit Card,App,22,Delivered,R1192,5,120,0,120
ZP1000046,10-06-2025 06:21,C11273,Bengaluru,560001,Curd 500g,Dairy,1,70,5,NEWUSER,COD,App,12,Delivered,R1053,3,70,3.5,66.5
ZP1000047,23-05-2025 16:54,C11763,Hyderabad,500001,Curd 500g,Dairy,1,70,0,NONE,Debit Card,App,51,Delivered,R1311,4,70,0,70
ZP1000048,27-03-2025 16:09,C17841,Hyderabad,500001,Cookies 150g,Snacks,2,90,10,NEWUSER,COD,App,30,Delivered,R1221,5,180,18,162
ZP1000049,16-03-2025 16:19,C16254,Bengaluru,560001,Floor Cleaner 1L,Household,1,110,0,NONE,Wallet,App,31,Delivered,R1297,3,110,0,110
ZP1000050,10-05-2025 14:37,C12757,Ahmedabad,380001,Rice 5kg,Staples,1,450,0,NONE,Wallet,App,24,Returned,R1247,,450,0,450
